"Station Name","Station Number","River","Aquatic Model Index","Water Body Id","Water Code","Station Type","Quadi","Township","Range","Section","Quarter Section","Grid","Station Quad","Rw Watershed","Wqcc Watershed","Hydro Unit8","Eco Region","Elevation","Watershed Report","Longitude","Latitude","County","State","Near City","Move","Description","Utmx","Utmy","Region","Comments","Usgs","State Engineering"
"Sutton's Ranch",60,"Plum Cr","SP0040","COSPUS10A","13110 - PLUM CREEK","Sandy Substrate","N-34","7S","68W","15",,"D8","Sedalia","South Platte","Upper South Platte","10190002","W High Plains Moderate Relief Rangeland",5720,"S Platte Tribs not in list,N Platte Main and Tribs",-104.9826158,39.4383434,"Douglas","Colorado","Castle Rock","NAD83","From junction of US Hwy 85 & state hwy 67 in the town Sedalia, travel 0.2 mi south on 67 to Rio Grande Ave.  Turn right and proceed 1.1 mi to bridge over Plum Creek.",501496,4365422,"13N",,"Yes","No"
"Castle Wood Canyon",65,"Cherry Cr","SP1054","COSPCH01","15607 - CHERRY CREEK #2","Sandy Substrate","O-35","8S","66W","15",,"D7","Castle Rock South","South Platte","Cherry Creek","10190003","W High Plains Moderate Relief Rangeland",6150,"S Platte Tribs not in list,N Platte Main and Tribs",-104.76398,39.35802693,"Douglas","Colorado","Elbert","NAD83","From Franktown go W Hwy 86 for .25 mi to Castle Canyon Rd, turn left and continue 2.25 mi to Homestead Trailhead parking lot, on left inside park, take Homestead trail to RimRock Trail, the left fork at the forks, to the River (old br is gone, but can see it). Guage station.",520334,4356535,"13N","5/1/14 - Moved fr COSPCC02.","Yes","No"
"Slaughterhouse",68,"Roaring Fk","CR2725","COUCRF03A","21737 - ROARING FORK R #3","Chemical","P-19","10S","85W","2",,"B7","Aspen","Colorado","Roaring Fork","14010004","S Rockies Warm and Dry Forests of the Middle to Lo",7716,"Roaring Fork",-106.839672,39.21088999,"Pitkin","Colorado","Aspen","NAD83","From state hwy 82 in the town Aspen, turn north onto Cemetary Lane (county Rd 19) and proceed approx 1.1 mi to bridge over Roaring Fork River.",341168,4341792,"13N","4/17/13 – BS moved WBID fr COUCRF02.","Yes","No"
"CRMS Crystal Br",78,"Crystal","CR0421","COUCRF08","19883 - CRYSTAL RIVER #1","Chemical","N-16","7S","88W","33",,"D2","Carbondale","Colorado","Roaring Fork","14010004","CO Plateaus Desert Shrublands",6100,"Roaring Fork",-107.2295226,39.40804533,"Garfield","Colorado","Carbondale","NAD83","Station is on Crystal River at bridge just outside CRMS (approx 3/4 mi NW of the town Carbondale). From 82 head south on Hwy 133. Turn right at 1st traffic light. Follow the road 1/2 mile west then 1/2 mile north to the bridge over Crystal River. Sample on south side of bridge.",308046,4364431,"13N","AQ Index <400 Feet","Yes","No"
"Below Stagecoach",81,"Yampa","YP0942","COUCYA02A","22929 - YAMPA RIVER #5","Chemical","G-19","4N","84W","29",,"C7","Blacktail Mountain","Green","Yampa","14050001","S Rockies Warm and Dry Forests of the Middle to Lo",7040,"Yampa and White",-106.8300678,40.28589242,"Routt","Colorado","Oak Creek","NAD83","From town of Oak Creek, travel approx 1.25 mi south on state hwy 131 to county Rd 14.  Turn left and continue 5.6 mi to county Rd 18.  Turn right and proceed 2 miles (to a point about 1/4 mi beyond Stagecoach Res Dam); station is to your right, on Yampa River.",344435,4461096,"13N",,"Yes","No"
"ANIDURCO",91,"Animas","SJ0010","COSJAF05A","37994 - ANIMAS RIVER #2","Chemical","EE-10","35N","9W","20",,"C8","Durango West","San Juan","Animas, Florida","14080104","NM AZ Shrublands",6520,"Animas",-107.8804,37.2797,"La Plata","Colorado","Durango","NAD83","From the junction of Hwy 550/160 in Durango, go north on 550 (Main Ave) until the railroad tracks cross the road.  Turn left at the light between the old powerplant and the RiverFront Building and the Bridge Cafe. Proceed down to the river and sample downstream of the the hanging bridge.",244629,4129794,"13N","Combo with 3575, change to DOW","Yes","No"
"Town Pk",96,"San Juan","SJ0015","COSJSJ06A","42919 - SAN JUAN RIVER #2","Chemical","EE-17","35N","2W","13",,"C1","Pagosa Springs","San Juan","San Juan","14080101","S Rockies Warm and Dry Forests of the Middle to Lo",7060,"San Juan",-107.0093836,37.26691455,"Archuleta","Colorado","Pagosa Spgs","NAD83","From junction of US Hwys 84 & 160 near town of Pagosa Spgs, travel 0.9 mi west on 160 to Hot Springs Blvd (only traffic light in town).  Turn left and proceed to first bridge.",321830,4126375,"13N",,"Yes","No"
"13th St Br",103,"Animas","SJ0017","COSJAF03B","38011 - ANIMAS RIVER #4","Chemical","AA-12","41N","7W","17","NESW","G6","Silverton","San Juan","Animas, Florida","14080104","S Rockies High Elevation Tundra",9306,"Animas",-107.6589,37.811,"San Juan","Colorado","Silverton","NAD83","From Greene Street (also State Hwy 110) within the town Silverton, turn southeast onto 14th St and proceed to second bridge.",265938,4188177,"13N","3/129/14 - BS moved fr 4188198/265919 to put on water.","Yes","No"
"Abv Conf Animas",104,"Mineral Cr","SJ0018","COSJAF09","42076 - MINERAL CREEK","Chemical","AA-12","41N","7W","19","NENE","G6","Silverton","San Juan","Animas, Florida","14080104","S Rockies High Elevation Tundra",9240,"Animas",-107.6727689,37.80291584,"San Juan","Colorado","Silverton","NAD83","Traveling on Hwy 550 north descending down the last switch back and hill towards Silverton, take the first right off of 550 onto dirt road about 1/4 mile before 550 and State Hwy 110 split and just before the 550 Hwy Br over Mineral Creek--proceed about 1/10 mile to gauge on Mineral Cr look to your left.",264690,4187314,"13N","used to be sta377, 3459 - combined with and changed to sta104","Yes","No"
"Vallecito Cr",111,"Vallecito Cr","SJ0020","COSJPN05","43884 - VALLECITO CREEK #1","Chemical","DD-13","37N","6W","16",,"D5","Vallecito Reservoir ","San Juan","Los Pinos","14080101","S Rockies Warm and Dry Forests of the Middle to Lo",7916,"Florida and Pine",-107.5437477,37.47745224,"La Plata","Colorado","Bayfield","NAD83","From the town of Bayfield, travel approx 17 mi north on Vallecito Rd (county Rd 501) to county Rd 500.  Turn left and follow 500 to its end (at Vallecito Campground).  Proceed north on trail until you reach gaging station.",275071,4150879,"13N","AQ Index <400 Feet","Yes","No"
"La Boca",116,"Los Pinos","SJ0023","COSJPN02D","41272 - LOS PINOS RIVER #1","Chemical","GG-13","32N","7W","22","NWNE","A5","Tiffany","San Juan","Los Pinos","14080101","NM AZ Shrublands",6158,"Florida and Pine",-107.5996554,37.00962521,"La Plata","Colorado","Ignacio","NAD83","From town of Ignacio, travel approx 8 mi south on state hwy 172.  Turn left at sign saying ""La Boca Ranch"" and proceed 0.6 mi (keeping left at fork in road) to former RR bridge spanning Los Pinos River.  Station is 50 ft north of bridge.",268710,4099119,"13N","AQ Index <400 Feet
3/28/16 - BS moved fr 268700/4099100 to put on water abv bridge.","Yes","No"
"Below Greeley",120,"Poudre","SP1060","COSPCP12","11883 - POUDRE RIVER #1A","Sandy Substrate","F-36","5N","65W","10",,"D6","Greeley","South Platte","Cache La Poudre","10190007","W High Plains Flat to Rolling Cropland",4610,"Poudre",-104.6401457,40.41792821,"Weld","Colorado","Greeley","NAD83","From intersection of US Hwy 85 & state hwy 263 (8th St) in city of Greeley, travel approx 2 mi east on 263 to Fern Ave.  Turn right and continue 1/3 mi to bridge over Poudre River.",530529,4474207,"13N",,"Yes","No"
"Almont",127,"Taylor","GU0009","COGUUG04","43531 - TAYLOR RIVER #1","Chemical","T-19","51N","1E","22",,"F7","Almont","Gunnison","Upper Gunnison","14020001","S Rockies Low to Middle Elevation Semi-Desert Shru",8000,"Gunnison Tribs",-106.8454322,38.66462073,"Gunnison","Colorado","Almont","NAD83","From state hwy 135 in the town of Almont, take Taylor Canyon Rd east to first bridge",339443,4281176,"13N",,"Yes","No"
"Above Almont",128,"East","GU0008","COGUUG05B","39913 - EAST RIVER #1","Chemical","T-19","51N","1E","22","SESW","F7","Almont","Gunnison","Upper Gunnison","14020001","S Rockies Low to Middle Elevation Semi-Desert Shru",8000,"Gunnison Tribs",-106.8476108,38.66397359,"Gunnison","Colorado","Almont","NAD83","State hwy 135 bridge over East River in town of Almont.",339252,4281108,"13N","3/17/16 - BS moved fr WBID COGUUG04.","Yes","No"
"State Br",133,"Rio Grande","RG0012","CORGRG04B","42527 - RIO GRANDE R #2","Chemical","BB-22","40N","5E","29","NESE","F4","Indian Head","Rio Grande","Rio Grande","13010001","NM AZ Irrigated Flatlands",7980,"Rio Grande Tribs",-106.4598929,37.68879695,"Rio Grande","Colorado","Del Norte","NAD83","From the town of Del Norte, take US Hwy 160 west approx 5.5 mi, turn right onto Hanna Lane (Rd 17).  Continue 3/4 mi to bridge over Rio Grande.",371282,4172290,"13N","8/23/16 - BS moved fr obsolete WBID CORGRG04.","Yes","No"
"Gun",137,"Rio Grande","RG2883","CORGRG04C","42527 - RIO GRANDE R #2","Chemical","CC-24","39N","7E","24","SENE","E2","Monte Vista","Rio Grande","Rio Grande","13010002","NM AZ Shrublands",7655,"Rio Grande Tribs",-106.1493552,37.60935874,"Rio Grande","Colorado","Monte Vista","NAD83","From junction of US Hwys 160 & 285 in the town Monte Vista, travel 2 mi north on 285 to bridge over Rio Grande.",398555,4163095,"13N","AQ Index <400 Feet
8/23/16 - BS moved fr obsolete WBID CORGRG04.","Yes","No"
"Cty Line",139,"Rio Grande","RG0018","CORGRG04C","42515 - RIO GRANDE R #1","Chemical","CC-25","38N","8E","1","NENE","E1","Homelake","Rio Grande","Rio Grande","13010002","NM AZ Irrigated Flatlands",7595,"Rio Grande Tribs",-106.0392757,37.57010887,"Rio Grande","Colorado","Monte Vista","NAD83","From town of Monte Vista, travel approx 5.9 mi east on US Hwy 160/285 to county Rd 6E (county line rd).  Turn left and continue 2.3 mi to bridge over Rio Grande.",408223,4158627,"13N","8/23/16 - BS moved fr obsolete WBID CORGRG04.","Yes","No"
"Stadium Dr",141,"Rio Grande","RG2890","CORGRG12","42515 - RIO GRANDE R #1","Chemical","DD-26","37N","10E","4",,"D8","Alamosa West","Rio Grande","Rio Grande","13010002","NM AZ Saltdeserts",7535,"Rio Grande Tribs",-105.8793625,37.48139212,"Alamosa","Colorado","Alamosa","NAD83","From Adams State College in Alamosa, travel north on Stadium Dr. to where it curves west.  Park on curve and walk NE to the Rio Grande River- sample here.",422253,4148640,"13N","Aq. Index > 200m","Yes","No"
"At Gauge",148,"Culebra Cr","RG0023","CORGRG30","39483 - CULEBRA CREEK #2","Chemical","FF-30","3N","72W","35",,"B4","San Luis","Rio Grande","Rio Grande","13010002","NM AZ Shrublands",7960,"Rio Grande Tribs",-105.4257013,37.18371836,"Costilla","Colorado","San Luis","NAD83","On state hwy 159 within the town of San Luis, travel south to where 159 turns west.  Turn left onto Rd 19, continue approx 0.7 mi before turning left again.  Proceed to bridge over Culebra Cr - gaging station near bridge is the sample site.",462214,4115338,"13N",,"Yes","No"
"Blw Battle Mtn Gold",156,"Rito Seco Cr","RG0025","CORGRG28","42604 - RITO SECO CREEK","Chemical","FF-30","32S","72W","25",,"B4","San Luis","Rio Grande","Rio Grande","13010002","NM AZ Shrublands",8280,"Rio Grande Tribs",-105.3862384,37.24160659,"Costilla","Colorado","San Luis","NAD83","From junction of state hwys 142 & 159 in the town of San Luis; go north 2 blks on 159, turn right & continue approx 0.4 mi to road leading to Rito Seco Park, turn left.  Follow this road about 3.4 mi to a jeep road creek crossing on the right (crossing is currently blocked by beaver dam).  Station is 40 yds upstream from here.",465743,4121745,"13N","was sta 3259 - combined with and changed to sta156","Yes","No"
"P1 - Abv Conf Ark",157,"Fountain Cr","AR4551","COARFO02B","29757 - FOUNTAIN CREEK #1","Sandy Substrate",,"21S","64W","6","NENE","C5","Northeast Pueblo","Arkansas","Fountain Creek","11020003","SW Tablelands Grasslands",4645,"Fountain Cr",-104.5908,38.2556,"Pueblo","Colorado","Pueblo","NAD83","Fr Pueblo, take I-25 S.  Take Exit 99A toward 6th St and turn L onto Albany Ave.  Go L on E 4th St, then R on S Joplin Ave, then R on S La Crosse.  Drive 1/4 mi to parking lot on L.  Follow path to R, then L near gauge station to site.",535801,4234252,"13N","New Fall 2017","Yes","No"
"Dam Br",164,"Arkansas","AR0212","COARMA02","28971 - ARKANSAS R #3B","Chemical",,,,"36","NESW","C6","Northwest Pueblo","Arkansas","Middle Arkansas","11020002","SW Tablelands Grasslands",4746,"Middle Arkansas (Pueblo Res to Fowler)",-104.7184,38.2713,"Pueblo","Colorado","Pueblo","NAD83",,524631,4235958,"13N","Lisa","Yes","No"
"Michigan Br",173,"Michigan","NP0908","COUCNP05B","11596 - MICHIGAN RIVER #1","Chemical","D-23","9N","79W","21",,"F3","Walden","South Platte","North Platte","10180001","WY Basin Semiarid to Arid Shrublands",8058,"S Platte Tribs not in list,N Platte Main and Tribs",-106.2818627,40.74092372,"Jackson","Colorado","Walden","NAD83","From junction of state hwys 14 & 125 within the town Walden, travel north on 125 approx 3/4 mi to bridge over Michigan River.",391771,4510788,"13N","Aq. Index > 200m","Yes","No"
"Illinois Br",174,"Illinois","NP0003","COUCNP04B","11217 - ILLINOIS RIVER #1","Chemical","D-23","9N","79W","29",,"F3","Walden","South Platte","North Platte","10180001","WY Basin Semiarid to Arid Shrublands",8040,"S Platte Tribs not in list,N Platte Main and Tribs",-106.2905631,40.72658461,"Jackson","Colorado","Walden","NAD83","From junction of state hwys 14 & 125 within the town Walden, travel south (then west) on 14/125 approx 2/3 mi to bridge over Illinois River.",391013,4509207,"13N",,"Yes","No"
"USGS Julesburg",180,"S Platte","SP0349","COSPLS01","12663 - SOUTH PLATTE R #13","Sandy Substrate","B-55","12N","44W","33",,"H3","Julesburg","South Platte","Lower South Platte","10190018","W High Plains Flat to Rolling Cropland",3455,"Lower S Platte (blw Brighton)",-102.2539779,40.9797117,"Sedgwick","Colorado","Julesburg","NAD83","Depart from I-76 at Exit 180 (Julesburg exit) and follow US Hwy 385 approx 3/4 mi north to S Platte River.  Sample at gaging station on east side of 2nd bridge.",731028,4540137,"13N","Aq. Index > 200m","Yes","No"
"Riverside Pk",187,"S Platte","SP0367","COSPLS01","12651 - SOUTH PLATTE R #12","Sandy Substrate","G-43","4N","57W","31",,"C7","Fort Morgan","South Platte","Lower South Platte","10190012","W High Plains Flat to Rolling Cropland",4260,"Lower S Platte (blw Brighton)",-103.8012175,40.26852648,"Morgan","Colorado","Fort Morgan","NAD83","From junction of I-76 & state hwy 52 in the town of Ft Morgan, travel north approx 1/3 mi on 52 to bridge over S Platte.",601927,4458251,"13N","AQ Index <400 Feet","Yes","No"
"Narrows",188,"S Platte","","COSPLS01","12651 - SOUTH PLATTE R #12","Sandy Substrate","G-42","4N","58W","7",,"C8","Weldona","South Platte","Lower South Platte","10190003","W High Plains Flat to Rolling Cropland",4310,"Lower S Platte (blw Brighton)",-103.9222225,40.32205065,"Morgan","Colorado","Weldona","NAD83","From town of Ft Morgan, travel approx 7 mi northwest on state hwy 144 to bridge over S Platte.",591566,4464060,"13N","Aq. Index NULL","Yes","No"
"Near Kersey",189,"S Platte","SP1695","COSPMS01B","13336 - SOUTH PLATTE R #11","Sandy Substrate","F-37","5N","64W","9",,"D5","Kersey","South Platte","Middle South Platte","10190003","W High Plains Flat to Rolling Cropland",4581,"Middle S Platte (blw Denver to Fort Lupton)",-104.5629787,40.41181537,"Weld","Colorado","Kersey","NAD83","From town of Kersey, travel 1.4 mi north on state hwy 37 to bridge over S Platte.",537079,4473558,"13N","Aq. Index > 200m","Yes","No"
"USGS FL",191,"S Platte","SP0633","COSPMS01A","13312 - SOUTH PLATTE R # 9","Sandy Substrate","I-35","1N","66W","6","SWNE","A7","Fort Lupton","South Platte","Lower South Platte","10190003","W High Plains Flat to Rolling Cropland",4890,"Middle S Platte (blw Denver to Fort Lupton)",-104.8214,40.0806,"Weld","Colorado","Fort Lupton","NAD83","Station is at intersection of US Hwy 85 and state hwy 52 in the town of Ft Lupton; 120 ft north of hwy 52 bridge, on east bank.",515228,4436721,"13N","AQ Index <400 Feet
5/30/13 - BS moved from WBID COSPLS01.  3/9/16 - BS moved from 515273/4436707 to put on water per Desc.","Yes","No"
"Before Conf",198,"Conejos","RG0026","CORGAL16","39239 - CONEJOS RIVER #1","Chemical","EE-28","35N","11E","2",,"C6","Lasauses","Rio Grande","Alamosa, La Jara, Conejos","13010005","NM AZ Irrigated Flatlands",7500,"Rio Grande Tribs",-105.7469729,37.30021899,"Conejos","Colorado","La Jara","NAD83","From the junction of US Hwys 160 & 285 in town of Alamosa, travel east 6 blocks to State Ave, turn right and continue to 12th St, turn left.  12th St becomes S River Rd after 5 blocks.  Follow S River Rd approx 12 mi to Rd Z, turn left and continue 4.4 mi to Rd 28.  Turn right; sample at bridge over Conejos.",433799,4128439,"13N",,"Yes","No"
"River Rd",206,"Dolores","DO0910","COGULD02","39772 - DOLORES RIVER #2","Chemical",,"47N","18W","2","NWSW","C7","Bull Canyon","Dolores","Lower Dolores","14030002","CO Plateaus Wooded Uplands",4913,"San Miguel Dolores Tribs",-108.833,38.3574,"Montrose","Colorado","Paradox","NAD83",,165053,4252434,"12N","Gaging station.  3/16/16 - BS moved from 165115/4252265 to put on water.
Aq. Index > 200m","Yes","No"
"88th and Colo",213,"S Platte","SP4215","COSPUS15","12649 - SOUTH PLATTE R # 8","Chemical","K-34","2S","67W","30",,"G8","Commerce City","South Platte","Upper South Platte","10190003","W High Plains Flat to Rolling Cropland",5069,"Upper Middle S Platte (Waterton Cyn thru Denver)",-104.9382,39.8557,"Adams","Colorado","Thornton","NAD83","From I-76 near the town of Thornton, travel approx 1.5 mi west on 88th Ave to Colorado Blvd.  Turn south and enter parking lot for bike path, station is due east of parking lot.",505286,4411742,"13N","5/13/15 - BS moved from 505257/4411743 to put on water.
Aq. Index > 200m","Yes","No"
"19th St Br",228,"S Platte","SP1003","COSPUS14","12649 - SOUTH PLATTE R # 8","Chemical","K-33","3S","68W","28",,"G1","Arvada","South Platte","Upper South Platte","10190003","W High Plains Flat to Rolling Cropland",5170,"Upper Middle S Platte (Waterton Cyn thru Denver)",-105.0039926,39.75978261,"Denver","Colorado","Denver","NAD83","Depart from I-25 in city of Denver at 20th St exit, and travel 1 blk southeast on 20th to Lipan St.  Turn right, then right again at 19th St.  Proceed to bridge; sample at OLD 19th St bridge.",499658,4401096,"13N",,"Yes","No"
"Below Big Dry Cr",234,"S Platte","SP1094","COSPUS14","11805 - SOUTH PLATTE R # 1A","Chemical","L-33","5S","68W","9",,"F1","Ft. Logan","South Platte","Upper South Platte","10190002","W High Plains Flat to Rolling Cropland",5290,"Upper Middle S Platte (Waterton Cyn thru Denver)",-105.0144961,39.63192595,"Arapahoe","Colorado","Littleton","NAD83","From intersection of US Hwy 85 & state hwy 75 in the city of Littleton, travel approx 1.5 mi north on 85 to Union Ave.  Turn left and continue 0.3 mi to bridge over S Platte River.",498756,4386906,"13N",,"Yes","No"
"Waterton Canyon",236,"S Platte","SP1018","COSPUS06A","14681 - SOUTH PLATTE R # 3A","Chemical","N-33",,,,,"D1","Kassler","South Platte","Upper South Platte","10190002","W High Plains Moderate Relief Rangeland",6500,"Upper S Platte (Source to Waterton Canyon)",-105.0927512,39.4882717,"Jefferson","Colorado","Littleton","NAD83","From C-470 and Wadsworth. Take Wadsworth (C-121) South past Chatfield State Park. Turn left on Waterton Canyon Rd and go past Kassler Water Treatment plant.  Site is on West side of Bridge going over South Platte just past treatment plant.",492024,4370967,"13N",,"Yes","No"
"Carson NC",237,"S Platte","SP1010","COSPUS14","11805 - SOUTH PLATTE R # 1A","Chemical","M-33","5S","68W","29",,"E1","Littleton","South Platte","Upper South Platte","10190002","W High Plains Flat to Rolling Cropland",5340,"Upper Middle S Platte (Waterton Cyn thru Denver)",-105.0276594,39.59171913,"Arapahoe","Colorado","Littleton","NAD83","From intersection of US Hwy 85 and state hwy 75 in the city of Littleton, travel south on 85 approx 2.2 mi to Mineral Ave.  Turn right, then right again at S Platte River Pkwy; turn left on west Carson Drive, continue to Carson Nature Center.  Station is near power pole on east bank.",497625,4382444,"13N",,"Yes","No"
"Below Pk City",241,"Mosquito Cr","SP1098","COSPUS02B","30445 - MOSQUITO CREEK","Chemical","O-25","9S","78W","13",,"C1","Alma","South Platte","Upper South Platte","10190001","S Rockies Low to Middle Elevation Semi-Desert Shru",10240,"S Platte Tribs not in list,N Platte Main and Tribs",-106.0529224,39.26914611,"Park","Colorado","Alma","NAD83","From town of Alma, travel approx 1.2 mi south on state hwy 9 to FR 438.  Turn right and proceed 0.4 mi to first old white bldgs on left.  Station is behind these bldgs, on Mosquito Creek.",409171,4347173,"13N",,"Yes","No"
"Cty Rd 14",242,"M Fk S Platte","SP4466","COSPUS01A","30875 - SOUTH PLATTE R, MD FK #2","Chemical","P-25","9S","77W","29","SWNW","B1","Fairplay West","South Platte","Upper South Platte","10190001","S Rockies Low to Middle Elevation Semi-Desert Shru",10058,"Upper S Platte (Source to Waterton Canyon)",-106.0289,39.2363,"Park","Colorado","South Park","NAD83","From junction of US Hwy 285 & state hwy 9 within town of Fairplay, travel 2.1 mi northwest on 9 to county Rd 14.  Turn left and proceed to first bridge; station is 75 yds north of bridge.",411198,4343501,"13N","4/24/18 - BS moved fr 411270/4343451 to put on water per Desc.","Yes","No"
"School Br",245,"S Platte","SP1101","COSPUS01A","30837 - SOUTH PLATTE R # 5","Chemical","R-31","12S","71W","20",,"H3","Lake George","South Platte","Upper South Platte","10190001","S Rockies Low to Middle Elevation Semi-Desert Shru",7920,"Upper S Platte (Source to Waterton Canyon)",-105.3632551,38.98631779,"Park","Colorado","Lake George","NAD83","From junction of US Hwy 24 & county Rd 90 in town of Lake George, travel northwest on Rd 90 to bridge over S Platte River.  Station is between this bridge and Hwy 24 bridge to the northeast. ",468539,4315321,"13N",,"Yes","No"
