Abbrev,Meas Date,Streamflow Value,Streamflow Meas Units,Streamflow Review Status,Streamflow Data Source,
"PLADENCO","09/03/2000","176.000000","cfs","A","DWR",
"PLADENCO","09/04/2000","162.000000","cfs","A","DWR",
"PLADENCO","09/05/2000","150.000000","cfs","A","DWR",
"PLADENCO","09/06/2000","150.000000","cfs","A","DWR",
"PLADENCO","09/07/2000","141.000000","cfs","A","DWR",
"PLADENCO","09/08/2000","141.000000","cfs","A","DWR",
"PLADENCO","09/09/2000","130.000000","cfs","A","DWR",
"PLADENCO","09/10/2000","122.000000","cfs","A","DWR",
"PLADENCO","09/11/2000","108.000000","cfs","A","DWR",
"PLADENCO","09/12/2000","108.000000","cfs","A","DWR",
"PLADENCO","09/13/2000","103.000000","cfs","A","DWR",
"PLADENCO","09/14/2000","95.000000","cfs","A","DWR",
"PLADENCO","09/15/2000","101.000000","cfs","A","DWR",
"PLADENCO","09/16/2000","103.000000","cfs","A","DWR",
"PLADENCO","09/17/2000","98.000000","cfs","A","DWR",
"PLADENCO","09/18/2000","99.000000","cfs","A","DWR",
"PLADENCO","09/19/2000","106.000000","cfs","A","DWR",
"PLADENCO","09/20/2000","445.000000","cfs","A","DWR",
"PLADENCO","09/21/2000","178.000000","cfs","A","DWR",
"PLADENCO","09/22/2000","193.000000","cfs","A","DWR",
"PLADENCO","09/23/2000","299.000000","cfs","A","DWR",
"PLADENCO","09/24/2000","379.000000","cfs","A","DWR",
"PLADENCO","09/25/2000","198.000000","cfs","A","DWR",
"PLADENCO","09/26/2000","176.000000","cfs","A","DWR",
"PLADENCO","09/27/2000","168.000000","cfs","A","DWR",
"PLADENCO","09/28/2000","164.000000","cfs","A","DWR",
"PLADENCO","09/29/2000","170.000000","cfs","A","DWR",
"PLADENCO","09/30/2000","261.000000","cfs","A","DWR",
"PLADENCO","10/01/2000","207.000000","cfs","A","DWR",
"PLADENCO","10/02/2000","194.000000","cfs","A","DWR",
"PLADENCO","10/03/2000","138.000000","cfs","A","DWR",
"PLADENCO","10/04/2000","139.000000","cfs","A","DWR",
"PLADENCO","10/05/2000","155.000000","cfs","A","DWR",
"PLADENCO","10/06/2000","160.000000","cfs","A","DWR",
"PLADENCO","10/07/2000","153.000000","cfs","A","DWR",
"PLADENCO","10/08/2000","148.000000","cfs","A","DWR",
"PLADENCO","10/09/2000","156.000000","cfs","A","DWR",
"PLADENCO","10/10/2000","142.000000","cfs","A","DWR",
"PLADENCO","10/11/2000","136.000000","cfs","A","DWR",
"PLADENCO","10/12/2000","134.000000","cfs","A","DWR",
"PLADENCO","10/13/2000","139.000000","cfs","A","DWR",
"PLADENCO","10/14/2000","124.000000","cfs","A","DWR",
"PLADENCO","10/15/2000","126.000000","cfs","A","DWR",
"PLADENCO","10/16/2000","125.000000","cfs","A","DWR",
"PLADENCO","10/17/2000","118.000000","cfs","A","DWR",
"PLADENCO","10/18/2000","103.000000","cfs","A","DWR",
"PLADENCO","10/19/2000","115.000000","cfs","A","DWR",
"PLADENCO","10/20/2000","122.000000","cfs","A","DWR",
"PLADENCO","10/21/2000","130.000000","cfs","A","DWR",
"PLADENCO","10/22/2000","229.000000","cfs","A","DWR",
"PLADENCO","10/23/2000","192.000000","cfs","A","DWR",
"PLADENCO","10/24/2000","168.000000","cfs","A","DWR",
"PLADENCO","10/25/2000","164.000000","cfs","A","DWR",
"PLADENCO","10/26/2000","159.000000","cfs","A","DWR",
"PLADENCO","10/27/2000","142.000000","cfs","A","DWR",
"PLADENCO","10/28/2000","137.000000","cfs","A","DWR",
"PLADENCO","10/29/2000","137.000000","cfs","A","DWR",
"PLADENCO","10/30/2000","132.000000","cfs","A","DWR",
"PLADENCO","10/31/2000","136.000000","cfs","A","DWR",
"PLADENCO","11/01/2000","123.000000","cfs","A","DWR",
"PLADENCO","11/02/2000","104.000000","cfs","A","DWR",
"PLADENCO","11/03/2000","97.000000","cfs","A","DWR",
"PLADENCO","11/04/2000","96.000000","cfs","A","DWR",
"PLADENCO","11/05/2000","363.000000","cfs","A","DWR",
"PLADENCO","11/06/2000","205.000000","cfs","A","DWR",
"PLADENCO","11/07/2000","171.000000","cfs","A","DWR",
"PLADENCO","11/08/2000","117.000000","cfs","A","DWR",
"PLADENCO","11/09/2000","111.000000","cfs","A","DWR",
"PLADENCO","11/10/2000","111.000000","cfs","A","DWR",
"PLADENCO","11/11/2000","116.000000","cfs","A","DWR",
"PLADENCO","11/12/2000","118.000000","cfs","A","DWR",
"PLADENCO","11/13/2000","118.000000","cfs","A","DWR",
"PLADENCO","11/14/2000","115.000000","cfs","A","DWR",
"PLADENCO","11/15/2000","119.000000","cfs","A","DWR",
"PLADENCO","11/16/2000","120.000000","cfs","A","DWR",
"PLADENCO","11/17/2000","119.000000","cfs","A","DWR",
"PLADENCO","11/18/2000","127.000000","cfs","A","DWR",
"PLADENCO","11/19/2000","124.000000","cfs","A","DWR",
"PLADENCO","11/20/2000","122.000000","cfs","A","DWR",
"PLADENCO","11/21/2000","112.000000","cfs","A","DWR",
"PLADENCO","11/22/2000","109.000000","cfs","A","DWR",
"PLADENCO","11/23/2000","106.000000","cfs","A","DWR",
"PLADENCO","11/24/2000","104.000000","cfs","A","DWR",
"PLADENCO","11/25/2000","100.000000","cfs","A","DWR",
"PLADENCO","11/26/2000","102.000000","cfs","A","DWR",
"PLADENCO","11/27/2000","107.000000","cfs","A","DWR",
"PLADENCO","11/28/2000","117.000000","cfs","A","DWR",
"PLADENCO","11/29/2000","117.000000","cfs","A","DWR",
"PLADENCO","11/30/2000","115.000000","cfs","A","DWR",
"PLADENCO","12/01/2000","110.000000","cfs","A","DWR",
"PLADENCO","12/02/2000","112.000000","cfs","A","DWR",
"PLADENCO","12/03/2000","113.000000","cfs","A","DWR",
"PLADENCO","12/04/2000","117.000000","cfs","A","DWR",
"PLADENCO","12/05/2000","103.000000","cfs","A","DWR",
"PLADENCO","12/06/2000","111.000000","cfs","A","DWR",
"PLADENCO","12/07/2000","115.000000","cfs","A","DWR",
"PLADENCO","12/08/2000","104.000000","cfs","A","DWR",
"PLADENCO","12/09/2000","106.000000","cfs","A","DWR",
"PLADENCO","12/10/2000","108.000000","cfs","A","DWR",
"PLADENCO","12/11/2000","107.000000","cfs","A","DWR",
"PLADENCO","12/12/2000","98.000000","cfs","A","DWR",
"PLADENCO","12/13/2000","91.000000","cfs","A","DWR",
"PLADENCO","12/14/2000","101.000000","cfs","A","DWR",
"PLADENCO","12/15/2000","102.000000","cfs","A","DWR",
"PLADENCO","12/16/2000","115.000000","cfs","A","DWR",
"PLADENCO","12/17/2000","135.000000","cfs","A","DWR",
"PLADENCO","12/18/2000","135.000000","cfs","A","DWR",
"PLADENCO","12/19/2000","137.000000","cfs","A","DWR",
"PLADENCO","12/20/2000","142.000000","cfs","A","DWR",
"PLADENCO","12/21/2000","140.000000","cfs","A","DWR",
"PLADENCO","12/22/2000","140.000000","cfs","A","DWR",
"PLADENCO","12/23/2000","144.000000","cfs","A","DWR",
"PLADENCO","12/24/2000","146.000000","cfs","A","DWR",
"PLADENCO","12/25/2000","143.000000","cfs","A","DWR",
"PLADENCO","12/26/2000","152.000000","cfs","A","DWR",
"PLADENCO","12/27/2000","164.000000","cfs","A","DWR",
"PLADENCO","12/28/2000","167.000000","cfs","A","DWR",
"PLADENCO","12/29/2000","165.000000","cfs","A","DWR",
"PLADENCO","12/30/2000","166.000000","cfs","A","DWR",
"PLADENCO","12/31/2000","171.000000","cfs","A","DWR",
"PLADENCO","01/01/2001","172.000000","cfs","A","DWR",
"PLADENCO","01/02/2001","171.000000","cfs","A","DWR",
"PLADENCO","01/03/2001","153.000000","cfs","A","DWR",
"PLADENCO","01/04/2001","153.000000","cfs","A","DWR",
"PLADENCO","01/05/2001","152.000000","cfs","A","DWR",
"PLADENCO","01/06/2001","154.000000","cfs","A","DWR",
"PLADENCO","01/07/2001","156.000000","cfs","A","DWR",
"PLADENCO","01/08/2001","155.000000","cfs","A","DWR",
"PLADENCO","01/09/2001","150.000000","cfs","A","DWR",
"PLADENCO","01/10/2001","145.000000","cfs","A","DWR",
"PLADENCO","01/11/2001","147.000000","cfs","A","DWR",
"PLADENCO","01/12/2001","150.000000","cfs","A","DWR",
"PLADENCO","01/13/2001","154.000000","cfs","A","DWR",
"PLADENCO","01/14/2001","155.000000","cfs","A","DWR",
"PLADENCO","01/15/2001","156.000000","cfs","A","DWR",
"PLADENCO","01/16/2001","164.000000","cfs","A","DWR",
"PLADENCO","01/17/2001","170.000000","cfs","A","DWR",
"PLADENCO","01/18/2001","165.000000","cfs","A","DWR",
"PLADENCO","01/19/2001","164.000000","cfs","A","DWR",
"PLADENCO","01/20/2001","160.000000","cfs","A","DWR",
"PLADENCO","01/21/2001","165.000000","cfs","A","DWR",
"PLADENCO","01/22/2001","163.000000","cfs","A","DWR",
"PLADENCO","01/23/2001","157.000000","cfs","A","DWR",
"PLADENCO","01/24/2001","158.000000","cfs","A","DWR",
"PLADENCO","01/25/2001","152.000000","cfs","A","DWR",
"PLADENCO","01/26/2001","139.000000","cfs","A","DWR",
"PLADENCO","01/27/2001","117.000000","cfs","A","DWR",
"PLADENCO","01/28/2001","115.000000","cfs","A","DWR",
"PLADENCO","01/29/2001","121.000000","cfs","A","DWR",
"PLADENCO","01/30/2001","121.000000","cfs","A","DWR",
"PLADENCO","01/31/2001","112.000000","cfs","A","DWR",
"PLADENCO","02/01/2001","114.000000","cfs","A","DWR",
"PLADENCO","02/02/2001","126.000000","cfs","A","DWR",
"PLADENCO","02/03/2001","126.000000","cfs","A","DWR",
"PLADENCO","02/04/2001","118.000000","cfs","A","DWR",
"PLADENCO","02/05/2001","114.000000","cfs","A","DWR",
"PLADENCO","02/06/2001","119.000000","cfs","A","DWR",
"PLADENCO","02/07/2001","119.000000","cfs","A","DWR",
"PLADENCO","02/08/2001","127.000000","cfs","A","DWR",
"PLADENCO","02/09/2001","136.000000","cfs","A","DWR",
"PLADENCO","02/10/2001","177.000000","cfs","A","DWR",
"PLADENCO","02/11/2001","211.000000","cfs","A","DWR",
"PLADENCO","02/12/2001","226.000000","cfs","A","DWR",
"PLADENCO","02/13/2001","230.000000","cfs","A","DWR",
"PLADENCO","02/14/2001","224.000000","cfs","A","DWR",
"PLADENCO","02/15/2001","256.000000","cfs","A","DWR",
"PLADENCO","02/16/2001","235.000000","cfs","A","DWR",
"PLADENCO","02/17/2001","205.000000","cfs","A","DWR",
"PLADENCO","02/18/2001","195.000000","cfs","A","DWR",
"PLADENCO","02/19/2001","202.000000","cfs","A","DWR",
"PLADENCO","02/20/2001","201.000000","cfs","A","DWR",
"PLADENCO","02/21/2001","194.000000","cfs","A","DWR",
"PLADENCO","02/22/2001","195.000000","cfs","A","DWR",
"PLADENCO","02/23/2001","204.000000","cfs","A","DWR",
"PLADENCO","02/24/2001","199.000000","cfs","A","DWR",
"PLADENCO","02/25/2001","198.000000","cfs","A","DWR",
"PLADENCO","02/26/2001","197.000000","cfs","A","DWR",
"PLADENCO","02/27/2001","196.000000","cfs","A","DWR",
"PLADENCO","02/28/2001","192.000000","cfs","A","DWR",
"PLADENCO","03/01/2001","189.000000","cfs","A","DWR",
"PLADENCO","03/02/2001","186.000000","cfs","A","DWR",
"PLADENCO","03/03/2001","188.000000","cfs","A","DWR",
"PLADENCO","03/04/2001","186.000000","cfs","A","DWR",
"PLADENCO","03/05/2001","191.000000","cfs","A","DWR",
"PLADENCO","03/06/2001","175.000000","cfs","A","DWR",
"PLADENCO","03/07/2001","164.000000","cfs","A","DWR",
"PLADENCO","03/08/2001","162.000000","cfs","A","DWR",
"PLADENCO","03/09/2001","163.000000","cfs","A","DWR",
"PLADENCO","03/10/2001","238.000000","cfs","A","DWR",
"PLADENCO","03/11/2001","279.000000","cfs","A","DWR",
"PLADENCO","03/12/2001","219.000000","cfs","A","DWR",
"PLADENCO","03/13/2001","199.000000","cfs","A","DWR",
"PLADENCO","03/14/2001","198.000000","cfs","A","DWR",
"PLADENCO","03/15/2001","175.000000","cfs","A","DWR",
"PLADENCO","03/16/2001","176.000000","cfs","A","DWR",
"PLADENCO","03/17/2001","156.000000","cfs","A","DWR",
"PLADENCO","03/18/2001","144.000000","cfs","A","DWR",
"PLADENCO","03/19/2001","138.000000","cfs","A","DWR",
"PLADENCO","03/20/2001","136.000000","cfs","A","DWR",
"PLADENCO","03/21/2001","125.000000","cfs","A","DWR",
"PLADENCO","03/22/2001","127.000000","cfs","A","DWR",
"PLADENCO","03/23/2001","130.000000","cfs","A","DWR",
"PLADENCO","03/24/2001","128.000000","cfs","A","DWR",
"PLADENCO","03/25/2001","134.000000","cfs","A","DWR",
"PLADENCO","03/26/2001","186.000000","cfs","A","DWR",
"PLADENCO","03/27/2001","143.000000","cfs","A","DWR",
"PLADENCO","03/28/2001","143.000000","cfs","A","DWR",
"PLADENCO","03/29/2001","154.000000","cfs","A","DWR",
"PLADENCO","03/30/2001","177.000000","cfs","A","DWR",
"PLADENCO","03/31/2001","187.000000","cfs","A","DWR",
"PLADENCO","04/01/2001","157.000000","cfs","A","DWR",
"PLADENCO","04/02/2001","157.000000","cfs","A","DWR",
"PLADENCO","04/03/2001","172.000000","cfs","A","DWR",
"PLADENCO","04/04/2001","161.000000","cfs","A","DWR",
"PLADENCO","04/05/2001","149.000000","cfs","A","DWR",
"PLADENCO","04/06/2001","171.000000","cfs","A","DWR",
"PLADENCO","04/07/2001","155.000000","cfs","A","DWR",
"PLADENCO","04/08/2001","145.000000","cfs","A","DWR",
"PLADENCO","04/09/2001","145.000000","cfs","A","DWR",
"PLADENCO","04/10/2001","142.000000","cfs","A","DWR",
"PLADENCO","04/11/2001","802.000000","cfs","A","DWR",
"PLADENCO","04/12/2001","499.000000","cfs","A","DWR",
"PLADENCO","04/13/2001","335.000000","cfs","A","DWR",
"PLADENCO","04/14/2001","217.000000","cfs","A","DWR",
"PLADENCO","04/15/2001","226.000000","cfs","A","DWR",
"PLADENCO","04/16/2001","222.000000","cfs","A","DWR",
"PLADENCO","04/17/2001","223.000000","cfs","A","DWR",
"PLADENCO","04/18/2001","231.000000","cfs","A","DWR",
"PLADENCO","04/19/2001","233.000000","cfs","A","DWR",
"PLADENCO","04/20/2001","238.000000","cfs","A","DWR",
"PLADENCO","04/21/2001","240.000000","cfs","A","DWR",
"PLADENCO","04/22/2001","514.000000","cfs","A","DWR",
"PLADENCO","04/23/2001","336.000000","cfs","A","DWR",
"PLADENCO","04/24/2001","310.000000","cfs","A","DWR",
"PLADENCO","04/25/2001","239.000000","cfs","A","DWR",
"PLADENCO","04/26/2001","228.000000","cfs","A","DWR",
"PLADENCO","04/27/2001","201.000000","cfs","A","DWR",
"PLADENCO","04/28/2001","196.000000","cfs","A","DWR",
"PLADENCO","04/29/2001","196.000000","cfs","A","DWR",
"PLADENCO","04/30/2001","189.000000","cfs","A","DWR",
"PLADENCO","05/01/2001","178.000000","cfs","A","DWR",
"PLADENCO","05/02/2001","211.000000","cfs","A","DWR",
"PLADENCO","05/03/2001","446.000000","cfs","A","DWR",
"PLADENCO","05/04/2001","828.000000","cfs","A","DWR",
"PLADENCO","05/05/2001","2120.000000","cfs","A","DWR",
"PLADENCO","05/06/2001","831.000000","cfs","A","DWR",
"PLADENCO","05/07/2001","448.000000","cfs","A","DWR",
"PLADENCO","05/08/2001","434.000000","cfs","A","DWR",
"PLADENCO","05/09/2001","467.000000","cfs","A","DWR",
"PLADENCO","05/10/2001","589.000000","cfs","A","DWR",
"PLADENCO","05/11/2001","628.000000","cfs","A","DWR",
"PLADENCO","05/12/2001","612.000000","cfs","A","DWR",
"PLADENCO","05/13/2001","507.000000","cfs","A","DWR",
"PLADENCO","05/14/2001","500.000000","cfs","A","DWR",
"PLADENCO","05/15/2001","450.000000","cfs","A","DWR",
"PLADENCO","05/16/2001","437.000000","cfs","A","DWR",
"PLADENCO","05/17/2001","464.000000","cfs","A","DWR",
"PLADENCO","05/18/2001","448.000000","cfs","A","DWR",
"PLADENCO","05/19/2001","403.000000","cfs","A","DWR",
"PLADENCO","05/20/2001","474.000000","cfs","A","DWR",
"PLADENCO","05/21/2001","538.000000","cfs","A","DWR",
"PLADENCO","05/22/2001","369.000000","cfs","A","DWR",
"PLADENCO","05/23/2001","329.000000","cfs","A","DWR",
"PLADENCO","05/24/2001","293.000000","cfs","A","DWR",
"PLADENCO","05/25/2001","266.000000","cfs","A","DWR",
"PLADENCO","05/26/2001","267.000000","cfs","A","DWR",
"PLADENCO","05/27/2001","349.000000","cfs","A","DWR",
"PLADENCO","05/28/2001","389.000000","cfs","A","DWR",
"PLADENCO","05/29/2001","438.000000","cfs","A","DWR",
"PLADENCO","05/30/2001","375.000000","cfs","A","DWR",
"PLADENCO","05/31/2001","272.000000","cfs","A","DWR",
"PLADENCO","06/01/2001","334.000000","cfs","A","DWR",
"PLADENCO","06/02/2001","185.000000","cfs","A","DWR",
"PLADENCO","06/03/2001","172.000000","cfs","A","DWR",
"PLADENCO","06/04/2001","206.000000","cfs","A","DWR",
"PLADENCO","06/05/2001","244.000000","cfs","A","DWR",
"PLADENCO","06/06/2001","218.000000","cfs","A","DWR",
"PLADENCO","06/07/2001","261.000000","cfs","A","DWR",
"PLADENCO","06/08/2001","395.000000","cfs","A","DWR",
"PLADENCO","06/09/2001","391.000000","cfs","A","DWR",
"PLADENCO","06/10/2001","364.000000","cfs","A","DWR",
"PLADENCO","06/11/2001","358.000000","cfs","A","DWR",
"PLADENCO","06/12/2001","376.000000","cfs","A","DWR",
"PLADENCO","06/13/2001","854.000000","cfs","A","DWR",
"PLADENCO","06/14/2001","613.000000","cfs","A","DWR",
"PLADENCO","06/15/2001","397.000000","cfs","A","DWR",
"PLADENCO","06/16/2001","344.000000","cfs","A","DWR",
"PLADENCO","06/17/2001","340.000000","cfs","A","DWR",
"PLADENCO","06/18/2001","320.000000","cfs","A","DWR",
"PLADENCO","06/19/2001","213.000000","cfs","A","DWR",
"PLADENCO","06/20/2001","227.000000","cfs","A","DWR",
"PLADENCO","06/21/2001","271.000000","cfs","A","DWR",
"PLADENCO","06/22/2001","160.000000","cfs","A","DWR",
"PLADENCO","06/23/2001","174.000000","cfs","A","DWR",
"PLADENCO","06/24/2001","177.000000","cfs","A","DWR",
"PLADENCO","06/25/2001","289.000000","cfs","A","DWR",
"PLADENCO","06/26/2001","423.000000","cfs","A","DWR",
"PLADENCO","06/27/2001","283.000000","cfs","A","DWR",
"PLADENCO","06/28/2001","176.000000","cfs","A","DWR",
"PLADENCO","06/29/2001","142.000000","cfs","A","DWR",
"PLADENCO","06/30/2001","181.000000","cfs","A","DWR",
"PLADENCO","07/01/2001","268.000000","cfs","A","DWR",
"PLADENCO","07/02/2001","450.000000","cfs","A","DWR",
"PLADENCO","07/03/2001","479.000000","cfs","A","DWR",
"PLADENCO","07/04/2001","404.000000","cfs","A","DWR",
"PLADENCO","07/05/2001","520.000000","cfs","A","DWR",
"PLADENCO","07/06/2001","372.000000","cfs","A","DWR",
"PLADENCO","07/07/2001","349.000000","cfs","A","DWR",
"PLADENCO","07/08/2001","1650.000000","cfs","A","DWR",
"PLADENCO","07/09/2001","769.000000","cfs","A","DWR",
"PLADENCO","07/10/2001","450.000000","cfs","A","DWR",
"PLADENCO","07/11/2001","548.000000","cfs","A","DWR",
"PLADENCO","07/12/2001","427.000000","cfs","A","DWR",
"PLADENCO","07/13/2001","603.000000","cfs","A","DWR",
"PLADENCO","07/14/2001","647.000000","cfs","A","DWR",
"PLADENCO","07/15/2001","493.000000","cfs","A","DWR",
"PLADENCO","07/16/2001","360.000000","cfs","A","DWR",
"PLADENCO","07/17/2001","259.000000","cfs","A","DWR",
"PLADENCO","07/18/2001","316.000000","cfs","A","DWR",
"PLADENCO","07/19/2001","215.000000","cfs","A","DWR",
"PLADENCO","07/20/2001","221.000000","cfs","A","DWR",
"PLADENCO","07/21/2001","308.000000","cfs","A","DWR",
"PLADENCO","07/22/2001","276.000000","cfs","A","DWR",
"PLADENCO","07/23/2001","872.000000","cfs","A","DWR",
"PLADENCO","07/24/2001","572.000000","cfs","A","DWR",
"PLADENCO","07/25/2001","408.000000","cfs","A","DWR",
"PLADENCO","07/26/2001","447.000000","cfs","A","DWR",
"PLADENCO","07/27/2001","411.000000","cfs","A","DWR",
"PLADENCO","07/28/2001","351.000000","cfs","A","DWR",
"PLADENCO","07/29/2001","223.000000","cfs","A","DWR",
"PLADENCO","07/30/2001","203.000000","cfs","A","DWR",
"PLADENCO","07/31/2001","199.000000","cfs","A","DWR",
"PLADENCO","08/01/2001","513.000000","cfs","A","DWR",
"PLADENCO","08/02/2001","409.000000","cfs","A","DWR",
"PLADENCO","08/03/2001","243.000000","cfs","A","DWR",
"PLADENCO","08/04/2001","270.000000","cfs","A","DWR",
"PLADENCO","08/05/2001","211.000000","cfs","A","DWR",
"PLADENCO","08/06/2001","299.000000","cfs","A","DWR",
"PLADENCO","08/07/2001","300.000000","cfs","A","DWR",
"PLADENCO","08/08/2001","308.000000","cfs","A","DWR",
"PLADENCO","08/09/2001","308.000000","cfs","A","DWR",
"PLADENCO","08/10/2001","263.000000","cfs","A","DWR",
"PLADENCO","08/11/2001","429.000000","cfs","A","DWR",
"PLADENCO","08/12/2001","349.000000","cfs","A","DWR",
"PLADENCO","08/13/2001","296.000000","cfs","A","DWR",
"PLADENCO","08/14/2001","242.000000","cfs","A","DWR",
